REGIAO:;S
UF:;PR
ESTACAO:;CURITIBA
CODIGO (WMO):;A807
LATITUDE:;-25,4486111
LONGITUDE:;-49,23055554
ALTITUDE:;922,91
DATA DE FUNDACAO:;28/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;911,1;911,1;910,2;;20,3;18,3;20,4;20,2;18,6;18,1;90;88;89;77;5,2;2;
2025/01/01;0100 UTC;0;911,7;911,8;911,1;;20;18,1;20,4;20;18,6;17,9;89;88;89;84;5,5;3;
2025/01/01;0200 UTC;0;911,4;911,7;911,3;;19,7;18,1;20;19,6;18,3;18;91;89;90;92;6;2,4;
2025/01/01;0300 UTC;0;911,3;911,4;911,2;;19,7;18;19,8;19,7;18,2;17,9;91;90;90;78;5,8;2,7;
2025/01/01;0400 UTC;0;911;911,3;911;;19,4;18;19,7;19,4;18,1;17,9;92;90;92;77;6,3;2,3;
2025/01/01;0500 UTC;0;910,5;911;910,5;;19,2;17,8;19,5;19,1;18,1;17,8;92;91;92;85;5,4;2,2;
2025/01/01;0600 UTC;0;910,6;910,6;910,5;;19,2;17,6;19,2;19,1;17,8;17,5;92;90;90;76;5,6;1,4;
2025/01/01;0700 UTC;0;910,5;910,8;910,5;;19,1;17,6;19,3;19,1;17,7;17,6;91;90;91;56;3,6;1,9;
2025/01/01;0800 UTC;0;910,4;910,6;910,2;;18,4;17,3;19,1;18,4;17,7;17,3;93;91;93;90;3,5;,8;
2025/01/01;0900 UTC;0;911,1;911,1;910,4;7,3;18;17,2;18,4;18;17,4;17,2;95;93;95;54;2,6;0;
2025/01/01;1000 UTC;0;911,7;911,7;911,1;117,9;18,4;17,4;18,4;18;17,6;17,2;96;94;94;32;4,6;1,1;
2025/01/01;1100 UTC;0;912;912,1;911,6;460,4;19,6;17,6;19,6;18,4;17,7;17,1;94;88;88;59;3,6;,8;
2025/01/01;1200 UTC;0;912,5;912,5;912;1494,3;21,6;17,7;21,6;19,3;18,1;16,9;88;78;79;55;4,6;1,6;
2025/01/01;1300 UTC;0;912,4;912,5;912,4;2558,2;23,4;17,6;23,5;20,8;18,8;16,9;81;70;70;37;4,4;1,7;
2025/01/01;1400 UTC;0;912;912,4;912;3318;24,9;17,7;25,7;23,2;19;17,3;73;63;64;70;4,5;1,6;
2025/01/01;1500 UTC;0;911,4;912;911,4;2881,7;26,7;17,4;27,6;24,7;19,3;17,4;67;56;57;3;4,8;1,7;
2025/01/01;1600 UTC;0;910,6;911,4;910,6;3184;27,7;17,2;28,6;26,2;19,4;16,7;62;50;53;263;6;2,6;
2025/01/01;1700 UTC;0;909,5;910,6;909,5;3034,1;28,4;14,5;29,4;27,2;18,8;13,9;57;41;43;258;6;1,8;
2025/01/01;1800 UTC;0;908,9;909,5;908,9;2190,1;29,1;15,5;29,8;27,9;16,5;14;48;40;44;289;6;2,9;
2025/01/01;1900 UTC;0;908,8;909;908,1;1945,4;25,4;17,9;30;25,4;18,2;15,6;64;42;63;278;10,3;4,7;
2025/01/01;2000 UTC;0;909,2;909,5;908,7;201,2;21;17,4;25,5;20,8;19,8;17,1;81;61;80;99;9,4;2,7;
2025/01/01;2100 UTC;0;909,1;909,2;908,7;383,8;22,4;18,4;22,9;21;18,4;17,2;80;71;78;169;5,5;1,5;
2025/01/01;2200 UTC;0;909,5;909,5;909,1;77,4;21;17,9;22,5;20,8;18,6;17,5;85;78;82;98;6,6;1,6;
2025/01/01;2300 UTC;0;910,7;910,7;909,3;0;21,1;18,6;21,2;20,7;18,8;17,9;88;82;86;98;4,9;1;
2025/01/02;0000 UTC;0;910,5;910,9;910,5;;20,6;18,5;21,4;20,6;18,7;18,5;88;84;88;122;3,5;1,9;
2025/01/02;0100 UTC;0;911,2;911,2;910,5;;19,8;18,5;20,6;19,8;18,8;18;92;87;92;109;5,2;1,8;
2025/01/02;0200 UTC;0;911,5;911,7;911,1;;19,6;18,3;19,9;19,6;18,9;18,3;95;92;92;89;5;2,3;
