REGIAO:;S
UF:;PR
ESTACAO:;CIDADE GAUCHA
CODIGO (WMO):;A869
LATITUDE:;-23,35916666
LONGITUDE:;-52,93194443
ALTITUDE:;365,79
DATA DE FUNDACAO:;11/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;966,9;967;966,4;;26,1;18,6;26,9;26;19,8;18,6;68;63;63;339;3,4;1,2;
2025/01/01;0100 UTC;0;967,4;967,4;966,8;;25,9;19;26,1;25,4;19;18,4;67;63;66;29;2,9;,9;
2025/01/01;0200 UTC;0;967,7;967,8;967,4;;24,5;19,4;25,9;24,3;19,4;18,8;73;66;73;344;2,8;,9;
2025/01/01;0300 UTC;0;967,9;967,9;967,6;;24,2;18,9;24,5;23,2;19,4;18,9;79;72;73;317;2,8;1;
2025/01/01;0400 UTC;0;967,9;968;967,8;;23,8;18;24,2;23,5;19;18;74;70;70;16;2,8;,9;
2025/01/01;0500 UTC;0;967,4;967,9;967,4;;23,8;18;24;23,2;18,2;17,8;73;68;70;6;3;1,5;
2025/01/01;0600 UTC;0;966,9;967,4;966,9;;22,9;18,2;23,8;22,7;18,3;17,9;76;70;75;351;3;,6;
2025/01/01;0700 UTC;0;967,4;967,5;966,9;;22,4;18,3;23;22,4;18,6;18;78;74;78;281;2,6;,9;
2025/01/01;0800 UTC;0;968,1;968,1;967,4;;22,9;18,5;23;22,4;18,6;18,3;78;76;76;330;3,3;1,8;
2025/01/01;0900 UTC;0;968,5;968,5;968,1;1,7;22,1;18,2;22,9;22;18,5;18,2;79;76;79;355;3,4;1,5;
2025/01/01;1000 UTC;0;969;969;968,4;300;24,4;19;24,4;21,9;19,1;18,3;81;72;72;355;3,3;1,6;
2025/01/01;1100 UTC;0;969,7;969,7;969;1055,2;25,8;19,6;26;24,4;19,9;18,9;73;67;69;314;5,5;2,9;
2025/01/01;1200 UTC;0;970,2;970,2;969,7;1866,2;27,4;20,1;27,8;25,8;20,4;19,4;69;63;64;331;6,6;3,2;
2025/01/01;1300 UTC;0;970,1;970,3;970,1;2605,7;29,7;21,9;29,7;27,3;21,9;20;66;60;63;304;6,6;3,1;
2025/01/01;1400 UTC;0;970;970,1;969,9;3084;31,5;21,3;31,7;28,9;22,2;20,7;63;55;55;305;6,5;3,1;
