REGIAO:;S
UF:;PR
ESTACAO:;SAO MATEUS DO SUL
CODIGO (WMO):;A874
LATITUDE:;-25,83555555
LONGITUDE:;-50,36888888
ALTITUDE:;780,21
DATA DE FUNDACAO:;17/04/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;925,3;925,3;924,7;;21,1;;21,7;21,1;20,8;17,1;100;77;;140;0;0;
2025/01/01;0100 UTC;0;925,6;925,7;925,2;;20,2;;21,1;20,2;;;;;;137;0;0;
2025/01/01;0200 UTC;0;925,8;925,8;925,5;;19,8;;20,2;19,8;;;;;;157;0;0;
2025/01/01;0300 UTC;0;925,5;925,8;925,4;;18,3;;19,8;18,3;;;;;;86;0;0;
2025/01/01;0400 UTC;0;925,3;925,5;925,3;;17,7;;18,3;17,5;;;;;;7;0;0;
2025/01/01;0500 UTC;0;925,5;925,5;925,2;;18,4;;18,4;17,5;;;;;;303;0;0;
2025/01/01;0600 UTC;0;925,2;925,5;925,2;;19;;19;18,4;;;;;;161;0;0;
2025/01/01;0700 UTC;0;925,2;925,2;925;;18,7;;19,1;18,7;;;;;;195;0;0;
2025/01/01;0800 UTC;0;925,4;925,4;925,1;;18,1;;18,8;18,1;;;;;;296;0;0;
2025/01/01;0900 UTC;0;925,9;925,9;925,4;12;17,5;;18,2;17,5;;;;;;311;0;0;
2025/01/01;1000 UTC;0;926,7;926,7;925,9;258,3;19,3;;19,3;17,5;;;;;;117;0;0;
2025/01/01;1100 UTC;0;927;927;926,7;858,5;21,2;15,8;21,3;19,3;;;;;72;121;0;0;
2025/01/01;1200 UTC;0;927,2;927,2;927;1158,4;23,8;16,4;23,8;21,2;16,5;15,6;73;62;63;158;0;0;
2025/01/01;1300 UTC;0;927;927,3;927;1633,6;25;15,5;25,3;23,1;16,6;14,9;64;54;55;119;0;0;
2025/01/01;1400 UTC;0;926,6;927;926,6;1982,4;26,8;16,5;26,8;25;16,9;15,1;57;51;53;148;3,4;0;
2025/01/01;1500 UTC;0;925,8;926,6;925,8;2840;28,5;15,7;29,1;26,4;17,9;14,4;57;44;46;104;3,3;0;
2025/01/01;1600 UTC;0;924,5;925,8;924,5;2727,7;29,5;15,7;29,6;27,7;17;13,9;48;40;43;149;2,2;0;
2025/01/01;1700 UTC;0;923,9;924,5;923,9;2668;30,3;14,3;30,6;28,6;16,2;12,7;46;36;38;123;4;,4;
2025/01/01;1800 UTC;0;923,8;923,9;923,4;1379;26,9;15,8;31,1;26,9;16,4;12,4;51;33;51;301;4,2;1,6;
2025/01/01;1900 UTC;0;923,3;924;923,2;699,1;25,1;16,7;26,9;24,1;18,3;14,9;68;50;60;143;6,7;1;
2025/01/01;2000 UTC;0;923,9;924,2;923,3;558,9;23,6;15,3;25,1;21,2;17,2;13,4;66;57;60;151;11,1;,3;
2025/01/01;2100 UTC;0;923;923,9;922,8;622,5;23,8;15,4;24,7;23,6;15,9;14,6;61;55;59;118;2,7;0;
2025/01/01;2200 UTC;0;923,5;923,5;922,7;172,7;22,1;15,8;23,8;22,1;16,1;14,9;68;58;67;200;3,4;0;
2025/01/01;2300 UTC;0;924,7;924,7;923,5;2;21;16,7;22,1;20,9;16,7;15,7;77;67;77;95;0;0;
2025/01/02;0000 UTC;0;925,5;925,5;924,6;;20;16,4;21;20;16,8;16,2;80;77;80;124;0;0;
2025/01/02;0100 UTC;0;925,7;925,7;925,3;;19,1;;20;19,1;;;;;;247;0;0;
2025/01/02;0200 UTC;0;925,7;925,9;925,7;;18,1;;19,1;18;;;;;;270;0;0;
2025/01/02;0300 UTC;0;925,7;925,9;925,6;;17,6;;18,1;17,5;;;;;;320;0;0;
2025/01/02;0400 UTC;0;925;925,7;924,9;;17,2;;17,7;17,2;;;;;;165;0;0;
2025/01/02;0500 UTC;0;924,1;925;924;;16,8;;17,2;16,6;;;;;;161;0;0;
2025/01/02;0600 UTC;0;923,9;924,1;923,7;;16,2;;16,8;16,1;;;;;;307;0;0;
2025/01/02;0700 UTC;0;923,8;924;923,7;;16;;16,5;15,9;;;;;;290;0;0;
2025/01/02;0800 UTC;0;924,1;924,1;923,7;;16,8;;16,9;16;;;;;;111;0;0;
2025/01/02;0900 UTC;0;924,3;924,4;924,1;14,1;16,7;;17,2;16,7;;;;;;122;0;0;
2025/01/02;1000 UTC;0;924,7;924,8;924,3;138,5;17,1;;17,2;16,7;;;;;;62;0;0;
2025/01/02;1100 UTC;0;925;925,1;924,6;1038,1;20,9;18,2;20,9;17,1;;;;;84;78;3,1;0;
2025/01/02;1200 UTC;0;924,6;925,1;924,6;1526,2;23,4;15,4;23,4;21;17,8;14,4;84;60;61;140;3,3;,1;
2025/01/02;1300 UTC;0;924,8;924,9;924,5;2131;26;15,3;26;23,4;15,5;14,2;61;51;52;105;5,8;2,6;
2025/01/02;1400 UTC;0;924,3;924,9;924,3;2357,7;26,3;14,9;27,2;25,8;16,1;14,5;53;49;49;97;7,2;2,3;
2025/01/02;1500 UTC;0;923,9;924,3;923,9;1701,6;26,1;15,5;28,7;26,1;16,3;13,8;53;42;52;26;7,4;,5;
2025/01/02;1600 UTC;0;923,1;923,9;923;702,5;25;17,5;26,5;25;18,1;14,9;64;50;63;310;4;,8;
2025/01/02;1700 UTC;,6;923;923,5;922,6;228,2;22;;25;22;22,5;17,6;100;63;;253;3,3;0;
2025/01/02;1800 UTC;6,8;924,3;924,3;923;55,8;18,5;;22;18,4;;;;;;306;5,6;1;
2025/01/02;1900 UTC;6,4;923,1;924,4;923;216;19,1;;19,1;18,3;;;;;;90;3,3;0;
2025/01/02;2000 UTC;,6;921,9;923,1;921,8;529,9;20,3;;20,4;19;;;;;;357;1,3;0;
2025/01/02;2100 UTC;0;922,2;922,2;921,9;273,3;20,4;;20,6;20,2;;;;;;120;0;0;
2025/01/02;2200 UTC;0;922,8;922,9;922,2;142,2;20,2;;20,6;20,2;;;;;;299;0;0;
2025/01/02;2300 UTC;0;923,4;923,4;922,7;3,1;19,8;;20,2;19,8;;;;;;293;0;0;
2025/01/03;0000 UTC;0;922,7;923,5;922,7;;19,7;;20;19,3;;;;;;56;0;0;
2025/01/03;0100 UTC;0;923,4;923,4;922,4;;19,2;;19,7;19,2;;;;;;13;0;0;
2025/01/03;0200 UTC;0;923,7;924,1;923,4;;18,9;;19,3;18,9;;;;;;309;0;0;
2025/01/03;0300 UTC;0;923,1;923,7;923;;18,2;;19;18,2;;;;;;279;0;0;
2025/01/03;0400 UTC;0;922,4;923,1;922,4;;17,4;;18,4;17,4;;;;;;259;0;0;
2025/01/03;0500 UTC;0;921,5;922,4;921,5;;17;;17,7;17;;;;;;352;0;0;
2025/01/03;0600 UTC;0;920,9;921,5;920,9;;17;;17,4;16,9;;;;;;45;0;0;
2025/01/03;0700 UTC;,2;921,7;921,8;920,9;;16,9;;17,2;16,6;;;;;;118;0;0;
2025/01/03;0800 UTC;0;922,1;922,1;921,7;;18;;18;16,8;;;;;;156;0;0;
2025/01/03;0900 UTC;0;922,4;922,4;922;14,5;17,9;;18;17,8;;;;;;208;0;0;
2025/01/03;1000 UTC;0;922,7;922,7;922,4;191,8;18,4;;18,4;17,9;;;;;;137;0;0;
2025/01/03;1100 UTC;0;923,1;923,1;922,7;974,2;21,1;;21,1;18,3;;;;;;41;0;0;
2025/01/03;1200 UTC;0;923,2;923,3;923,1;1796;23;17,9;23,5;20,7;;;;;73;59;2,6;,1;
2025/01/03;1300 UTC;0;923,1;923,2;923;2075,4;25,2;17,7;25,2;23;18,5;17;74;62;63;31;3,4;,7;
2025/01/03;1400 UTC;0;922,9;923,2;922,9;2798;26,9;15,7;27,7;25;18,8;15,7;66;50;51;5;4,6;0;
2025/01/03;1500 UTC;0;922,5;922,9;922,5;2907,2;28,5;16,3;29,1;26,9;18;15,1;54;44;48;305;5;,3;
2025/01/03;1600 UTC;0;922,2;922,6;922,1;3622;30,1;13,8;30,2;28,5;16,7;13;49;35;37;321;7,1;2,6;
2025/01/03;1700 UTC;0;921,3;922,2;921,3;3005,8;30,8;13;31;28,9;16,2;12,3;45;32;34;312;5,9;2;
2025/01/03;1800 UTC;0;921,1;921,9;921,1;2568,9;28,2;11,6;31,7;26,5;15,4;11,3;47;30;36;87;8,6;2,4;
2025/01/03;1900 UTC;0;920,1;921,1;920,1;2437,7;30,2;13,2;30,7;28,2;16,1;11,4;44;33;35;5;5,9;1,2;
2025/01/03;2000 UTC;0;919,6;920,1;919,6;1794,5;29,7;14,4;30,7;29,6;15,6;12,9;42;34;39;29;5,2;1,2;
2025/01/03;2100 UTC;0;919,4;919,7;919,4;418,1;28,4;14,5;29,7;28,4;16,4;12,5;46;36;43;307;3,5;1,1;
2025/01/03;2200 UTC;0;919,4;919,5;919,2;80,7;23,5;14,4;28,4;23,5;15,2;10,5;59;33;57;287;5;0;
2025/01/03;2300 UTC;0;920,1;920,1;919,4;1;19,5;15,1;23,5;19,5;16,1;14,4;76;57;76;316;,8;0;
2025/01/04;0000 UTC;0;921,1;921,1;920,1;;18,4;;19,5;18,3;;;97;76;;340;0;0;
2025/01/04;0100 UTC;0;922,1;922,1;921,1;;17,4;;18,5;17,4;;;;;;325;0;0;
2025/01/04;0200 UTC;0;922,7;922,7;922,1;;16,7;;17,4;16,7;;;;;;338;0;0;
2025/01/04;0300 UTC;0;922,5;922,8;922,5;;16,2;;16,8;16;;;;;;298;0;0;
2025/01/04;0400 UTC;0;921,8;922,5;921,8;;15,5;;16,3;15,4;;;;;;326;0;0;
2025/01/04;0500 UTC;0;921,7;921,9;921,7;;15,4;;15,5;15,2;;;;;;298;0;0;
2025/01/04;0600 UTC;0;921,2;921,7;921,1;;14,8;;15,4;14,8;;;;;;304;0;0;
2025/01/04;0700 UTC;0;921,3;921,5;921,1;;14,5;;14,8;14,5;;;;;;332;0;0;
2025/01/04;0800 UTC;0;921,7;921,7;921,2;;14,7;;14,9;14,4;;;;;;118;0;0;
2025/01/04;0900 UTC;0;922,4;922,4;921,6;23,8;14,4;;14,7;14,3;;;;;;346;0;0;
2025/01/04;1000 UTC;0;923,1;923,1;922,4;252,4;16,6;;16,6;14,4;;;;;;131;0;0;
2025/01/04;1100 UTC;0;923,3;923,3;923,1;1218,5;21,3;13,9;21,3;16,6;;;;;63;278;3,8;1,2;
2025/01/04;1200 UTC;0;923,2;923,3;923,2;1999,9;23,3;13,2;23,3;21,3;14,8;12,6;65;52;53;314;4,4;1,5;
2025/01/04;1300 UTC;0;923,1;923,2;923,1;2071,3;25,2;12,3;25,7;23,1;14,6;12;55;43;44;316;3,6;1,5;
2025/01/04;1400 UTC;0;922,6;923,1;922,6;2748,8;26,5;10,8;27,4;25,1;14,8;9,7;48;34;37;42;4,4;1,2;
2025/01/04;1500 UTC;0;922;922,6;922;3465;28,3;9,2;28,9;26,5;13,2;9,2;42;30;30;67;5,7;1,2;
2025/01/04;1600 UTC;0;921,7;922,1;921,7;3550,5;29,5;10,9;30,3;28;12,6;9,1;38;28;32;54;6,9;1,5;
2025/01/04;1700 UTC;0;921,1;921,7;921,1;2963,1;30,4;10,5;30,5;28,8;13,1;8,5;35;25;29;315;6;1,9;
2025/01/04;1800 UTC;0;920,4;921,1;920,4;3071,8;30,7;8,8;31,4;30,5;11;7,2;31;22;26;321;6,3;1,6;
2025/01/04;1900 UTC;0;919,9;920,4;919,9;2698,7;30,8;9,2;31,1;30,1;10;6,6;28;22;26;312;6,3;2,2;
2025/01/04;2000 UTC;0;919,5;920;919,5;2061,2;30,6;6,9;31,6;30,4;11,4;4,8;30;19;23;292;7,3;2,8;
2025/01/04;2100 UTC;0;919,5;919,6;919,4;588,4;28,5;9,2;30,8;28,5;10,4;7;32;22;30;292;7,3;1,4;
2025/01/04;2200 UTC;0;919,9;919,9;919,4;88,2;25,5;9,8;28,5;23,8;14,5;8,8;56;30;37;279;3,5;1,5;
2025/01/04;2300 UTC;0;920,9;920,9;919,9;2,8;19,8;12,8;25,5;19,8;12,9;10;64;37;64;299;3,1;0;
