REGIAO:;S
UF:;PR
ESTACAO:;CLEVELANDIA
CODIGO (WMO):;A876
LATITUDE:;-26,41722221
LONGITUDE:;-52,3486111
ALTITUDE:;966,06
DATA DE FUNDACAO:;15/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;904,1;904,1;903,1;;21,6;17;22,7;20,4;17,1;16,3;79;69;75;13;2,7;1,6;
2025/01/01;0100 UTC;0;904,3;904,3;904,1;;20,5;17,3;21,6;20,2;17,3;17;83;75;82;14;4,2;1,8;
2025/01/01;0200 UTC;0;904,3;904,5;904,3;;19,8;17,2;20,5;19,3;17,5;17,1;88;82;85;357;4;2,3;
2025/01/01;0300 UTC;0;904,2;904,3;904,2;;19,4;16,3;20;18,9;17,2;16,3;88;82;82;12;4,1;1,8;
2025/01/01;0400 UTC;0;903,8;904,2;903,8;;19;15,9;19,4;18,6;16,4;15,9;85;82;82;20;4,3;3,2;
2025/01/01;0500 UTC;0;903,6;903,9;903,6;;18,2;16;19;18,1;16,1;15,7;87;82;87;25;5,6;3,6;
2025/01/01;0600 UTC;0;903,3;903,6;903,3;;17,8;16,5;18,3;17,8;16,5;16;92;87;92;16;7,4;4;
2025/01/01;0700 UTC;0;903,2;903,3;903;;17,4;16,7;17,9;17,3;16,7;16,4;96;92;96;22;6,9;3,2;
2025/01/01;0800 UTC;0;903,7;903,7;903,2;;17,1;16,5;17,5;17;16,8;16,5;97;95;97;32;7,1;3,6;
2025/01/01;0900 UTC;0;904,2;904,2;903,7;26,7;17,5;16,8;17,5;17,1;16,8;16,6;97;96;96;36;6,7;4,4;
2025/01/01;1000 UTC;0;905;905;904,2;627,7;19;17,5;19;17,5;17,6;16,8;96;91;91;35;6,9;4;
2025/01/01;1100 UTC;0;905,3;905,3;905;1575,1;20,7;18,5;20,7;19;18,5;17,4;92;86;88;32;8,3;5,7;
2025/01/01;1200 UTC;0;905,7;905,7;905,3;2383,2;22,5;19;22,8;20,7;19,6;18;88;77;81;27;8,3;4,9;
2025/01/01;1300 UTC;0;905,9;905,9;905,7;2980,6;24;18,5;24,5;22,5;20,1;18,5;82;70;72;11;7,7;4,3;
2025/01/01;1400 UTC;0;905,6;906;905,5;3276,9;25,2;19,2;25,2;24;19,8;18,3;75;69;69;355;8,8;4,3;
2025/01/01;1500 UTC;0;905;905,6;905;3567;25,7;18,6;25,9;24,5;19,7;18,2;72;64;65;328;9,8;4,6;
2025/01/01;1600 UTC;0;904,3;905;904,3;3653,4;26,5;20,1;26,8;25,1;20,7;18,2;72;62;68;311;11,1;4,3;
2025/01/01;1700 UTC;0;903;904,3;903;3412,3;26,4;17,8;27,3;25,7;20,8;17,2;71;56;59;301;10,6;6;
2025/01/01;1800 UTC;0;902,7;903,4;902,7;2561,4;27,5;16,2;28,2;26,4;19,3;16,2;64;50;50;273;10,5;3,7;
2025/01/01;1900 UTC;0;902,6;903,1;902,6;2327,6;28,2;17,1;28,3;26,9;18;15,9;57;49;51;268;7,9;3,1;
2025/01/01;2000 UTC;0;902,2;902,7;902,2;1417,3;26,6;17,5;28,2;26,2;19,6;16,4;61;50;58;348;7,1;2,6;
2025/01/01;2100 UTC;0;901,8;902,2;901,6;996,7;23,9;17,7;26,6;23,6;18,7;17,4;72;57;69;19;8,7;3,5;
2025/01/01;2200 UTC;0;902,3;902,4;901,7;340,2;22,9;18,2;23,9;22,7;18,2;17,3;76;67;75;88;7,1;2,3;
2025/01/01;2300 UTC;0;902,6;902,6;902;6,7;22;18,1;22,9;21,2;18,3;17,9;83;75;79;9;3,6;2,4;
2025/01/02;0000 UTC;0;903,5;903,5;902,6;;20,6;18,1;22,1;20,4;18,3;17,9;87;78;85;21;4,5;3,2;
2025/01/02;0100 UTC;0;904;904;903,5;;20,1;17,7;20,9;20;18;17,4;86;81;86;17;5,5;3,3;
2025/01/02;0200 UTC;0;904,3;904,4;904;;19,5;17,5;20,2;19,2;17,8;17,5;91;86;88;19;5,4;3,5;
2025/01/02;0300 UTC;0;904,2;904,3;903,9;;19,2;17,3;19,5;18,9;17,5;17,3;91;88;89;16;5,5;2,8;
2025/01/02;0400 UTC;0;903,5;904,2;903,5;;19,1;16,9;19,2;18,9;17,3;16,9;89;87;87;11;5,9;2,9;
2025/01/02;0500 UTC;0;903,6;903,8;903,5;;18,5;17,4;19,2;18,3;17,5;16,9;95;87;93;25;4,6;1,9;
2025/01/02;0600 UTC;0;902,6;903,6;902,5;;18,2;17,3;18,6;17,9;17,5;17,2;97;93;94;16;4,3;2,3;
2025/01/02;0700 UTC;0;902,9;902,9;902,4;,5;18,4;17,2;18,4;18,1;17,4;17,2;95;93;93;349;4,9;2,4;
2025/01/02;0800 UTC;0;903,2;903,5;902,9;,1;17,8;17;18,4;17,8;17,3;17;95;93;95;85;3,8;,9;
2025/01/02;0900 UTC;0;903,2;903,3;903;8,4;17,4;16,9;17,8;17,1;17,1;16,7;98;95;97;13;2,7;0;
2025/01/02;1000 UTC;0;903,7;903,7;903,2;607,2;19,1;17,7;19,1;17,4;17,7;16,9;97;91;92;356;4,3;0;
2025/01/02;1100 UTC;0;904;904,1;903,7;1724,9;21,1;18,3;21,7;19,1;19,2;17,5;92;83;84;348;6,8;3,4;
2025/01/02;1200 UTC;0;904,3;904,3;903,9;1186,9;21,8;17,8;21,8;21;18,7;17,7;86;78;78;324;8,9;4,1;
2025/01/02;1300 UTC;0;904,8;904,9;904,2;1218,1;22,2;18,9;22,2;21,1;18,9;17,7;85;78;81;278;9,9;4,9;
2025/01/02;1400 UTC;0;904,3;904,8;904,1;2278,2;23,8;19,2;24,4;22,1;20,1;18,5;82;73;75;264;7,8;3,6;
2025/01/02;1500 UTC;0;903,8;904,3;903,8;1297,1;24,1;18,9;24,2;23,3;19,8;18;78;70;73;290;6,8;3,3;
2025/01/02;1600 UTC;0;902,9;903,8;902,9;2951,2;26,3;19;26,5;24;20,5;18,2;76;62;64;295;9,9;5,5;
2025/01/02;1700 UTC;0;902,1;902,9;902,1;3163,6;26;17,2;26,9;25,5;19;15,7;64;52;58;293;11,8;6,3;
2025/01/02;1800 UTC;0;901,8;902,2;901,7;2650;25,7;18,2;27,1;25,7;19,3;16,9;66;57;63;251;11,2;3,5;
2025/01/02;1900 UTC;0;901,8;901,9;901;1022,3;23,3;18,6;25,6;22,9;20,1;17,8;80;63;75;300;10,1;1;
2025/01/02;2000 UTC;0;901,6;901,8;901,4;1402,1;24,6;18,2;25,4;23,1;19,8;18,2;78;67;68;283;8,3;5;
2025/01/02;2100 UTC;0;901,7;901,9;901,4;637,3;24,1;18,1;25,3;23,8;18,8;17,7;72;65;69;300;8;3,6;
2025/01/02;2200 UTC;0;902,1;902,1;901,7;173,6;22,5;18,4;24,1;22,5;19,9;18,1;82;69;78;314;10,4;4,9;
2025/01/02;2300 UTC;0;903,3;903,5;902;13,9;18,6;16,3;22,5;18,6;18,3;16,3;86;78;86;161;15,3;7,1;
2025/01/03;0000 UTC;0;902,5;903,3;902,5;;17,8;15,4;18,6;17,8;16,3;15,4;89;84;86;350;12,3;1,8;
2025/01/03;0100 UTC;0;902,9;902,9;902,3;;17,4;15,5;19,1;17,4;15,6;15,1;88;79;88;31;4;1,6;
2025/01/03;0200 UTC;0;903,3;903,3;902,8;;17,3;15,7;18,2;16,5;15,8;15,2;94;85;90;354;3,7;2,2;
2025/01/03;0300 UTC;0;903,1;903,4;903,1;;17;15,9;17,5;16,7;15,9;15,6;94;89;93;2;4,6;2;
2025/01/03;0400 UTC;0;903,1;903,2;903,1;;16,9;16,2;17,5;16,7;16,5;15,8;96;93;96;17;3;1,6;
2025/01/03;0500 UTC;0;902,5;903,1;902,5;;16,6;16,2;17,4;16,3;16,8;15,8;99;95;97;3;2,4;,6;
2025/01/03;0600 UTC;0;902;902,5;902;;17;17;17,2;16,6;17,1;16,2;100;97;100;330;3,2;1,5;
2025/01/03;0700 UTC;0;902;902;901,8;;17,1;16,9;17,1;16,3;17;16,3;100;98;99;310;4,6;2,2;
2025/01/03;0800 UTC;0;902,3;902,3;902;;17,7;17,6;17,8;17,1;17,7;16,9;100;99;99;277;5,2;2,2;
2025/01/03;0900 UTC;0;902,5;902,6;902,3;21,2;17,7;17,3;17,7;16,5;17,6;16,2;100;98;98;253;3,5;2,1;
2025/01/03;1000 UTC;0;903;903;902,5;622;17,5;17,3;18;17;17,3;16,2;99;93;99;10;3,5;1,1;
2025/01/03;1100 UTC;0;903,3;903,3;902,9;1607,3;19,7;18,5;21,1;17,5;19,4;17,5;99;88;93;44;2,3;1,5;
2025/01/03;1200 UTC;0;903,6;903,7;903,3;2465;23,3;18,2;23,3;19,5;19,9;17,6;96;71;73;187;4;1,9;
2025/01/03;1300 UTC;0;903,8;903,8;903,6;3287,1;24,6;16,3;24,7;23,2;18,3;16,2;74;60;60;204;6,4;3,3;
2025/01/03;1400 UTC;0;903,8;903,9;903,7;3820,3;25,4;17,4;25,7;24,3;17,8;14,9;64;55;61;218;8,4;4,6;
2025/01/03;1500 UTC;0;903,7;903,9;903,6;3291,6;26,1;16,4;26,1;23,9;17,8;15,4;63;53;55;196;8,6;3,9;
2025/01/03;1600 UTC;0;903,6;903,7;903,5;3291,7;25,3;15,2;26,5;24,8;17,5;14,4;61;49;53;237;9,2;4,4;
2025/01/03;1700 UTC;0;902,9;903,6;902,9;3516,9;26,7;13,7;27,2;25,3;16,3;12,6;55;41;45;224;8,2;4;
2025/01/03;1800 UTC;0;902,2;902,9;902,2;3106,8;27,1;13,3;27,6;26,2;14,5;12;48;38;43;231;8,5;4,2;
2025/01/03;1900 UTC;0;901,5;902,2;901,5;2081,3;26,8;14,8;27,9;25,5;15,7;12,7;51;41;48;232;8;4,8;
2025/01/03;2000 UTC;0;900,7;901,5;900,7;1714,7;26,7;14,4;27,3;25,6;15,5;12,9;50;43;47;208;8,9;4,3;
