REGIAO:;S
UF:;PR
ESTACAO:;COLOMBO
CODIGO (WMO):;B806
LATITUDE:;-25,322464
LONGITUDE:;-49,157733
ALTITUDE:;950
DATA DE FUNDACAO:;01/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;907,4;907,5;906,8;121,2;20,3;18,3;20,8;20,3;18,3;18,1;88;85;88;87;6,2;1,4;
2025/01/01;0100 UTC;0;907,9;907,9;907,3;;19,2;17,5;20,3;19,2;18,2;17,5;90;88;90;133;5,1;1;
2025/01/01;0200 UTC;0;909,1;909,3;907,9;;18,8;17,4;19,2;18,5;17,5;17;92;90;92;79;3,1;1;
2025/01/01;0300 UTC;0;908,5;909,1;908,5;;19,1;18;19,1;18,8;18;17,4;93;92;93;117;5,4;1,9;
2025/01/01;0400 UTC;0;908,8;908,9;908,5;;19,1;18;19,2;19,1;18,1;18;94;93;94;124;4,9;1,2;
2025/01/01;0500 UTC;0;908,6;908,8;908,5;;18,7;17,9;19,1;18,7;18,1;17,9;95;94;95;85;4,6;1,6;
2025/01/01;0600 UTC;0;907,9;908,6;907,9;;18,5;17,8;18,8;18,5;17,9;17,8;96;95;95;71;5,4;1,7;
2025/01/01;0700 UTC;0;907,9;908;907,9;;18,6;18;18,6;18,5;18;17,8;96;95;96;32;5,3;1,2;
2025/01/01;0800 UTC;0;908,1;908,1;907,9;;18,5;17,8;18,7;18,5;18;17,8;96;96;96;40;4;,8;
2025/01/01;0900 UTC;0;907,6;908,1;907,6;;17,8;17,2;18,5;17,8;17,9;17,2;96;96;96;78;2,4;,7;
2025/01/01;1000 UTC;0;908,1;908,1;907,6;;17,6;17,2;17,8;17,4;17,2;16,9;97;96;97;66;2,5;,6;
2025/01/01;1100 UTC;0;908,9;908,9;908,1;46,8;17,8;17,4;17,8;17,6;17,5;17,2;98;97;97;8;3,5;1,5;
2025/01/01;1200 UTC;0;909,2;909,2;908,8;279,1;18,6;18;18,6;17,7;18;17,2;97;96;96;66;3,2;,8;
2025/01/01;1300 UTC;0;909,7;909,7;909,2;720,9;19,2;18,2;19,6;18,5;18,7;17,8;96;94;94;40;4;1,7;
2025/01/01;1400 UTC;0;909,9;909,9;909,7;1767,7;21,1;19,3;22;19,2;20,5;18;95;89;90;52;4,5;1,5;
2025/01/01;1500 UTC;0;909,7;909,9;909,5;2993;23,3;20,3;23,8;21,1;21,4;19,2;90;83;83;59;4,5;1,2;
2025/01/01;1600 UTC;0;909,1;909,7;909,1;3648,3;26,3;21,5;26,4;22,7;22,3;19,7;84;74;75;348;6,7;2,5;
2025/01/01;1700 UTC;0;908,6;909,1;908,6;3822,7;27;20,1;27,6;25,7;21,7;19,6;75;66;66;333;6,7;2,2;
2025/01/01;1800 UTC;0;907,6;908,6;907,6;2943,9;28,9;20,4;28,9;26,6;20,5;18,7;66;60;60;276;5,4;1,4;
2025/01/01;1900 UTC;0;907;907,6;906,9;3203,8;27,9;18,1;29,2;27,3;20,2;17,7;60;54;55;13;5,8;2,3;
2025/01/01;2000 UTC;0;906;907;906;2376,4;27,6;17,9;29,6;27,2;19,5;16,9;56;51;55;309;10,7;5,6;
2025/01/01;2100 UTC;0;906,4;906,4;905,2;997,8;24,3;14,7;27,6;24,2;18,1;14,6;57;53;55;315;10,7;1,9;
2025/01/01;2200 UTC;0;905,9;907;905,9;219,6;22;16,8;24,3;21,9;16,9;14,7;73;55;73;155;5,6;1,6;
2025/01/01;2300 UTC;0;906,9;906,9;905,8;230,1;20,5;16,9;22,2;20,4;17,2;16,7;80;73;80;30;4,2;1,1;
2025/01/02;0000 UTC;0;907,5;907,5;906,7;32,1;19,8;17;20,5;19,8;17;16,7;83;80;83;337;3,3;1,2;
2025/01/02;0100 UTC;0;908,2;908,2;907,5;;19,5;17,1;19,8;19,5;17,1;16,8;86;83;86;332;2,3;,9;
2025/01/02;0200 UTC;0;908;908,2;907,9;;18,8;16,8;19,5;18,8;17,2;16,7;88;86;88;100;3,6;1,3;
2025/01/02;0300 UTC;0;909;909;908;;18,4;16,9;18,8;18,4;17,1;16,8;91;88;91;43;3,1;1,1;
2025/01/02;0400 UTC;0;908,9;909,1;908,8;;18,3;17;18,5;18,2;17,1;16,9;93;91;93;15;3,9;1,6;
2025/01/02;0500 UTC;0;908,2;908,9;908,2;;18;17,1;18,3;18;17,2;17;94;93;94;34;4,5;1,5;
2025/01/02;0600 UTC;0;907,7;908,4;907,7;;17,8;16,9;18,1;17,8;17,1;16,9;95;94;95;14;3,9;,8;
2025/01/02;0700 UTC;0;906,9;907,7;906,9;;17,1;16,4;17,8;17,1;17;16,4;95;95;95;45;2,6;,9;
2025/01/02;0800 UTC;0;906,5;906,9;906,4;;16,4;15,8;17,1;16,4;16,3;15,7;96;95;96;41;2,6;,4;
2025/01/02;0900 UTC;0;906,2;906,5;905,9;;16,2;15,7;16,4;15,8;15,8;15,2;97;96;97;7;4,2;2;
