REGIAO:;S
UF:;RS
ESTACAO:;BAGE
CODIGO (WMO):;A827
LATITUDE:;-31,34777777
LONGITUDE:;-54,01333333
ALTITUDE:;226,19
DATA DE FUNDACAO:;04/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;984;984;983,5;;23,6;19,2;24,9;23,5;19,5;19,1;77;72;76;91;9,9;6;
2025/01/01;0100 UTC;0;984,2;984,3;984;;22,4;18,7;23,6;22,4;19,2;18,7;80;76;80;88;9,9;4,9;
2025/01/01;0200 UTC;0;984,7;985;984,2;;21,7;18,8;22,4;21,7;18,9;18,7;84;80;84;71;9,8;3,2;
2025/01/01;0300 UTC;0;984,4;984,9;984,3;;21,2;18,8;21,7;21;18,9;18,6;87;84;86;76;6,5;3,4;
2025/01/01;0400 UTC;0;984,6;984,7;984,2;;21,4;18,9;21,4;20,9;18,9;18,7;87;86;86;54;7,7;4,7;
2025/01/01;0500 UTC;0;984,1;984,6;984;;21,3;18,6;21,6;21,3;18,9;18,6;86;84;84;65;10,2;4,3;
2025/01/01;0600 UTC;0;984;984,2;984;;21,2;18,4;21,4;21,1;18,6;18,4;85;84;84;60;7,2;3,6;
2025/01/01;0700 UTC;0;983,7;984;983,7;;20,5;18,3;21,2;20,3;18,5;18,1;88;84;87;78;6,1;2,3;
2025/01/01;0800 UTC;0;984;984;983,7;;20,3;18,4;20,7;20,2;18,6;18,2;90;87;89;78;3,8;2,2;
2025/01/01;0900 UTC;0;984,4;984,4;983,9;29,3;20,2;18,8;20,4;19,1;18,9;17,8;94;89;92;69;4;1,4;
2025/01/01;1000 UTC;0;984,8;984,8;984,4;479,9;22,2;19,5;22,2;20,1;19,7;18,6;92;85;85;56;4,8;3,1;
2025/01/01;1100 UTC;0;984,5;984,9;984,5;1296,8;24,3;19,4;24,7;22,2;20,3;19,4;85;74;74;63;6,1;3,3;
2025/01/01;1200 UTC;0;984,4;984,5;984,3;2137,9;26,3;19,3;26,6;24,3;20,1;19;76;64;65;62;7;4;
2025/01/01;1300 UTC;0;984;984,4;984;2882,3;28,8;20,3;29,1;26,3;20,6;19;67;56;60;56;6,5;2,5;
2025/01/01;1400 UTC;0;983,9;984,1;983,9;3444,5;29,6;19,5;29,8;28,4;20,5;18,2;61;51;55;236;5,5;1,4;
2025/01/01;1500 UTC;0;983,6;983,9;983,6;3306,6;30,4;19,9;30,7;29,6;20,3;18,5;56;50;53;113;4,9;1,1;
2025/01/01;1600 UTC;0;983;983,6;983;3897,7;31,6;17,6;32;30,1;20,2;16,7;56;41;43;356;5,2;1,3;
2025/01/01;1700 UTC;0;982,4;983;982,3;2934,1;31,1;18,2;32,2;30,6;19,9;17;49;41;46;289;4,1;2,2;
2025/01/01;1800 UTC;0;982,1;982,4;982;2649,6;31,8;17,7;32,7;31;18,9;16,9;46;40;43;167;4,5;1,8;
2025/01/01;1900 UTC;0;981,4;982,1;981,4;2010,2;31,7;17,7;32,6;31,4;19,5;16,8;48;40;43;176;4,8;1,9;
2025/01/01;2000 UTC;0;980,9;981,4;980,9;1039,4;31;17,1;31,8;31;18;16,3;45;40;43;245;4,9;2,2;
2025/01/01;2100 UTC;0;980,7;980,9;980,6;577,5;30,1;18,4;31;30,1;18,5;17,1;50;43;50;226;4,9;1,7;
2025/01/01;2200 UTC;0;980,2;980,8;980,2;284,2;28,5;17,8;30,1;28,5;18,2;17,5;53;48;52;210;4,2;1,2;
2025/01/01;2300 UTC;0;980,7;980,7;979,7;37,5;27;18,6;28,5;27;18,6;16,8;60;50;60;189;4,7;2,1;
2025/01/02;0000 UTC;0;982;982;980,7;;25,7;21,4;27;25,3;21,5;18,7;78;60;77;98;8,9;5,5;
2025/01/02;0100 UTC;0;982,5;982,5;982;;24,4;20;25,7;24,3;21,4;20;79;74;77;77;8,9;3,1;
2025/01/02;0200 UTC;0;983,3;983,3;982,5;;23,3;19,1;24,4;23,3;20;19,1;77;75;77;42;8,2;4,5;
2025/01/02;0300 UTC;0;983,1;983,3;983;;22,9;19;23,3;22,7;19,3;18,9;80;77;79;30;7;3,4;
2025/01/02;0400 UTC;0;982,5;983,1;982,4;;21,4;18,3;22,9;21,4;19;18,3;83;78;83;18;6,5;2,5;
2025/01/02;0500 UTC;0;981,7;982,5;981,7;;20,6;17,9;21,8;20,6;18,3;17,8;85;79;85;358;4,6;2,6;
2025/01/02;0600 UTC;0;980,9;981,7;980,9;;21,3;18;21,4;20,3;18,3;17,7;85;81;82;342;6,2;3,8;
2025/01/02;0700 UTC;0;980,8;980,9;980,7;;21,6;17,5;21,7;21;18;17,5;82;77;78;350;6,1;3,4;
2025/01/02;0800 UTC;0;981,2;981,2;980,8;;21;17,4;21,7;20,9;17,6;17,2;81;77;80;318;5,5;1,8;
2025/01/02;0900 UTC;0;981,6;981,6;981,2;32;21;17,7;21,2;19,6;17,9;16,6;85;79;82;203;2,8;1,3;
2025/01/02;1000 UTC;0;981,8;982;981,6;490,9;22,4;18,9;22,4;20,4;18,9;17,6;85;80;80;355;2,8;,6;
2025/01/02;1100 UTC;0;981,9;981,9;981,8;1300;24,5;19,2;24,6;22,3;19,5;18,2;80;72;72;285;3;2;
2025/01/02;1200 UTC;0;981,9;982;981,9;2134,2;27,9;19,9;27,9;24,5;20,2;19,1;73;61;62;294;5,6;3,2;
2025/01/02;1300 UTC;0;981,6;982;981,6;2891,6;29,9;19,1;29,9;27,9;20,7;18,5;63;51;52;244;6;3,1;
