REGIAO:;S
UF:;RS
ESTACAO:;JAGUARAO
CODIGO (WMO):;A836
LATITUDE:;-32,53472221
LONGITUDE:;-53,37583332
ALTITUDE:;31,48
DATA DE FUNDACAO:;09/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1008,5;1008,6;1008,3;;22;19,8;22,8;22;19,9;19,8;88;83;87;77;11,5;4;
2025/01/01;0100 UTC;0;1008,7;1008,8;1008,5;;21,7;19,9;22;21,7;19,9;19,8;90;87;90;74;9,4;4,3;
2025/01/01;0200 UTC;0;1008,6;1008,8;1008,6;;21,6;20,1;21,7;21,4;20,1;19,9;91;90;91;80;8,2;3,8;
2025/01/01;0300 UTC;0;1008,5;1008,7;1008,5;;21,6;20,2;21,7;21,6;20,2;20,1;92;91;92;74;9;3,8;
2025/01/01;0400 UTC;0;1007,9;1008,5;1007,9;;21,6;20,4;21,6;21,4;20,4;20,1;93;92;93;79;8;3,2;
2025/01/01;0500 UTC;0;1007,4;1007,9;1007,3;;21,8;20,5;21,8;21,5;20,5;20,3;93;92;92;75;7,1;3,5;
2025/01/01;0600 UTC;0;1007,6;1007,6;1007,3;;21,6;20,5;21,9;21,5;20,5;20,3;94;92;94;75;7,3;2,4;
2025/01/01;0700 UTC;0;1007,3;1007,7;1007,2;;21,4;20,6;21,7;21,4;20,6;20,5;95;93;95;80;5,2;2,3;
2025/01/01;0800 UTC;0;1007,3;1007,6;1007,3;;21,3;20,7;21,5;21,2;20,7;20,5;96;95;96;79;4,5;2,3;
2025/01/01;0900 UTC;0;1007,8;1007,9;1007,3;20,3;21,2;20,8;21,3;21,1;20,8;20,6;97;96;97;76;4,5;1,8;
2025/01/01;1000 UTC;0;1008,1;1008,1;1007,6;415;22,9;21,5;23;21,2;21,7;20,8;97;92;92;76;5,4;2,5;
2025/01/01;1100 UTC;0;1007,9;1008,1;1007,9;589,9;23,6;21,6;23,6;22,7;22;21,4;93;89;89;66;6,9;3,6;
2025/01/01;1200 UTC;0;1007,6;1008;1007,6;1185,5;25,8;22,3;25,8;23,6;22,3;21,6;90;81;81;59;6,9;3,8;
2025/01/01;1300 UTC;0;1007,4;1007,6;1007,4;2295,2;26,8;21,8;27,1;25,2;22,7;21,4;81;74;74;62;7,6;3;
2025/01/01;1400 UTC;0;1006,9;1007,5;1006,9;2543,6;28,1;22,4;28,2;26,5;22,9;21,3;77;69;71;67;7;3,3;
2025/01/01;1500 UTC;0;1006,8;1006,9;1006,5;2816,5;28,6;22,6;28,7;27,5;22,8;20,9;72;66;70;77;7,2;3,2;
2025/01/01;1600 UTC;0;1006,1;1006,8;1006,1;2602,5;28,5;22,1;29,4;28,4;22,7;20,8;70;62;68;76;6,5;3,4;
2025/01/01;1700 UTC;0;1005,8;1006,1;1005,8;1884,5;29,1;21,8;29,5;28,4;22,8;21,7;69;64;65;79;8,2;3,6;
2025/01/01;1800 UTC;0;1005,1;1005,8;1005,1;1705,3;28,7;22,8;29,5;28,5;23;21,2;71;64;71;100;7,2;4;
2025/01/01;1900 UTC;0;1004,6;1005,1;1004,6;1887,2;28,1;23,5;28,8;28;23,8;22,2;77;67;76;101;9,4;5;
2025/01/01;2000 UTC;0;1003,9;1004,6;1003,9;1369,1;26,7;23,2;28,5;26,7;23,8;22,9;81;75;81;97;10,1;4,3;
2025/01/01;2100 UTC;0;1003,8;1003,9;1003,6;591,7;25,4;22,8;26,7;25,4;23,3;22,7;86;81;86;93;9,8;4,7;
2025/01/01;2200 UTC;0;1004,1;1004,3;1003,8;242,8;24,7;22,6;25,4;24,7;22,8;22,6;88;85;88;83;9,4;4,1;
2025/01/01;2300 UTC;0;1004,2;1004,5;1004;29;24,3;22,6;24,7;24,3;22,8;22,6;91;88;90;85;10,1;4,2;
2025/01/02;0000 UTC;0;1004,9;1005,1;1004,1;;23,9;22,5;24,3;23,8;22,6;22,4;92;90;92;75;8,2;3,2;
2025/01/02;0100 UTC;0;1005,1;1005,1;1004,6;;23,7;22,6;23,9;23,6;22,7;22,5;94;92;94;58;6,2;2,5;
2025/01/02;0200 UTC;0;1005,5;1005,7;1004,9;;23,5;22,6;23,9;23,5;22,8;22,6;94;94;94;42;6;1,6;
2025/01/02;0300 UTC;0;1005,3;1005,6;1005,1;;22,5;22;23,5;22,5;22,6;22;97;94;97;88;3,2;,5;
2025/01/02;0400 UTC;0;1004,4;1005,3;1004,3;;22,1;21,9;22,6;22;22,4;21,8;99;97;99;32;1,5;,9;
