REGIAO:;S
UF:;RS
ESTACAO:;TUPANCIRETA
CODIGO (WMO):;A886
LATITUDE:;-29,08944444
LONGITUDE:;-53,82666666
ALTITUDE:;462
DATA DE FUNDACAO:;11/08/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;957,5;957,5;956,8;;23,9;19,4;25;23,9;19,7;19,3;76;71;76;51;6,3;2,3;
2025/01/01;0100 UTC;0;958,1;958,1;957,5;;23,1;17,6;24;23,1;19,4;17,5;76;70;71;56;7,4;2,7;
2025/01/01;0200 UTC;0;957,9;958,2;957,9;;21,9;17,6;23,1;21,8;17,7;17,4;77;71;77;40;6,1;2,1;
2025/01/01;0300 UTC;0;957,6;957,9;957,6;;21,5;17,5;21,9;21,5;17,7;17,4;78;77;78;41;5,1;1,8;
2025/01/01;0400 UTC;0;957,4;957,6;957,3;;21;17,1;21,5;21;17,4;17,1;79;77;78;32;4,7;1,8;
2025/01/01;0500 UTC;0;957,1;957,5;957,1;;20,6;16,7;21;20,6;17,1;16,7;79;77;78;43;5,4;2;
2025/01/01;0600 UTC;0;956,8;957,2;956,8;;20,3;16,7;20,7;20,2;16,8;16,6;80;78;80;44;6;1,8;
2025/01/01;0700 UTC;0;956,8;956,9;956,8;;19,9;16,5;20,3;19,9;16,7;16,5;81;80;81;47;5,3;2,1;
2025/01/01;0800 UTC;0;956,9;956,9;956,7;;19,9;16,5;20;19,8;16,6;16,4;81;80;81;32;5,2;1,8;
2025/01/01;0900 UTC;0;957,5;957,5;956,9;8,2;19,6;16,5;19,9;19,6;16,6;16,5;82;81;82;30;4,2;1,8;
2025/01/01;1000 UTC;0;958,1;958,1;957,5;132,9;21;16,9;21;19,6;17;16,5;82;77;78;28;4,7;2,2;
2025/01/01;1100 UTC;0;958,3;958,4;957,9;1080,5;23,5;18,1;23,7;21;18,3;17;78;71;72;16;5,5;2,9;
2025/01/01;1200 UTC;0;958,5;958,5;958,3;2020,4;26,4;19,6;26,4;23,4;19,7;18,1;72;66;67;8;6,3;3,7;
2025/01/01;1300 UTC;0;958,2;958,6;958,2;2787,4;29,3;20,1;29,3;26,4;20,4;19,5;66;58;58;4;6,6;3,4;
2025/01/01;1400 UTC;0;958,1;958,3;958,1;3345,8;32;19,6;32,6;29,1;20,6;19,1;59;47;48;337;6,8;2,9;
2025/01/01;1500 UTC;0;957,5;958,1;957,5;3130,3;33;18,2;33,5;31,3;19,9;17,4;50;40;42;329;7,6;2,6;
2025/01/01;1600 UTC;0;956,9;957,5;956,9;3412,9;33,5;16,3;34,1;31,7;19,3;15,7;45;34;36;296;9,5;3,1;
2025/01/01;1700 UTC;0;956,6;957;956,3;3106,8;31,8;19,7;34,6;31,8;19,7;16,1;49;34;49;326;7,5;2;
2025/01/01;1800 UTC;7;955,6;956,9;955,6;933,6;26,2;23,2;31,8;20,2;23,5;14,5;87;47;84;16;13,8;1,2;
2025/01/01;1900 UTC;,2;955,1;955,6;955,1;1935,6;29;21,6;30,3;26,1;25,3;21,5;87;60;64;136;6,8;2,6;
2025/01/01;2000 UTC;0;955,6;955,8;955,1;1042,4;28,1;21,4;29,5;27,7;22;20,1;69;60;67;117;6,8;1,8;
2025/01/01;2100 UTC;0;955,5;955,8;955,2;1089,8;27;18,8;28,6;27;21,4;17,7;67;54;61;85;7,5;2,4;
2025/01/01;2200 UTC;0;954,7;955,5;954,7;356,1;25,7;19,1;27,1;25,7;20,4;18,8;70;61;67;86;5,3;1,9;
2025/01/01;2300 UTC;0;956,5;957;954,7;37,6;21,4;19;25,7;21,2;20,5;18;86;67;86;351;10;3;
2025/01/02;0000 UTC;0;956,4;956,6;956,2;;23;18,5;23,2;21,4;19,3;17,8;87;74;76;19;7,1;2,1;
2025/01/02;0100 UTC;0;956,7;956,8;956,2;;22,3;19,6;23,1;22,2;19,7;18,5;85;76;85;16;4,6;2,1;
2025/01/02;0200 UTC;0;957,2;957,2;956,7;;21,9;20;22,3;21,9;20,1;19,6;89;85;89;14;3,5;,6;
2025/01/02;0300 UTC;0;957,7;957,7;956,9;;22,5;20,4;22,7;21,7;20,4;19,7;89;84;88;39;3,7;1,5;
2025/01/02;0400 UTC;0;957,1;957,9;957,1;;22;19,9;22,5;22;20,5;19,9;90;88;88;47;3,7;,8;
2025/01/02;0500 UTC;0;956,4;957,1;956,4;;22,2;19,3;22,2;21,6;20;19,2;90;84;84;13;2,2;1,1;
2025/01/02;0600 UTC;0;956;956,4;956;;22;19,5;22,3;21,8;19,9;19,2;88;83;86;28;2,3;1;
2025/01/02;0700 UTC;0;955,9;956,3;955,8;;21,1;19,8;21,9;21,1;19,9;19,2;92;85;92;113;2;,4;
2025/01/02;0800 UTC;0;956;956,1;955,7;;21,5;19,8;21,7;20,9;20;19,6;93;88;90;359;2,5;,8;
2025/01/02;0900 UTC;0;956,6;956,6;956;5,6;21;19,4;21,6;20,9;19,9;19,3;91;89;91;32;3,5;1,4;
2025/01/02;1000 UTC;0;957,1;957,1;956,5;211,5;21,5;19,6;21,5;20,9;19,6;19,3;91;88;89;22;4,3;2;
2025/01/02;1100 UTC;0;957,3;957,4;957,1;869,6;23,3;20,2;23,4;21,5;20,5;19,5;89;82;83;17;4,3;2;
2025/01/02;1200 UTC;0;957,4;957,4;957,3;1952,4;25,7;20,9;25,8;23,3;21,7;20;83;74;74;359;4;1,7;
2025/01/02;1300 UTC;0;957,4;957,4;957,3;2770,2;27,5;21,4;27,9;25,7;21,8;20,4;75;68;69;330;4,5;1,9;
2025/01/02;1400 UTC;0;956,8;957,4;956,8;3391,6;31;20,5;31;27,5;22,9;19,8;70;52;54;215;4,9;1,6;
2025/01/02;1500 UTC;0;956,4;956,9;956,4;2625,6;31,1;18,2;32,3;30,1;20,8;18,1;57;46;46;246;6,5;2,9;
2025/01/02;1600 UTC;0;955,8;956,4;955,8;3304,1;32,6;17,5;33;30,9;19,4;16,5;48;38;41;220;8;3,3;
2025/01/02;1700 UTC;0;955,3;955,8;955,3;2409,7;32,8;18,3;33,3;31,2;19,5;16,5;46;39;42;204;8;3,3;
2025/01/02;1800 UTC;0;954,4;955,5;954,4;2289,9;32,3;17,7;33,5;30,7;19,4;17;49;39;42;246;7;3,1;
2025/01/02;1900 UTC;0;954,3;954,4;954,2;2728,2;32,7;16,2;33,8;32,2;18,6;15,8;44;35;37;230;8,4;3,4;
2025/01/02;2000 UTC;0;954,1;954,3;954;1905,9;33,3;16,1;33,8;32;17,4;15,5;39;35;36;209;9,2;3,7;
2025/01/02;2100 UTC;0;954;954,1;953,9;1284,2;31,1;15,6;33,3;31,1;16,4;15,3;39;35;39;211;8,5;3,1;
2025/01/02;2200 UTC;0;954,2;954,2;954;511,5;30,5;16,3;31,9;30,5;16,3;15,7;42;38;42;212;8,2;3;
2025/01/02;2300 UTC;0;954,7;954,7;954,3;36,7;27,2;16,5;30,5;27,2;16,6;16,3;52;42;52;214;7,1;1,5;
