REGIAO:;S
UF:;RS
ESTACAO:;CAPAO DO LEAO (PELOTAS)
CODIGO (WMO):;A887
LATITUDE:;-31,8025
LONGITUDE:;-52,40722222
ALTITUDE:;13
DATA DE FUNDACAO:;18/07/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1011,2;1011,3;1011;;23,3;20,4;23,3;23,3;20,5;20,3;85;83;84;62;11;5,5;
2025/01/01;0100 UTC;0;1010,9;1011,2;1010,9;;23,2;20,5;23,3;23,2;20,6;20,4;85;84;85;63;9,1;5,1;
2025/01/01;0200 UTC;0;1010,7;1010,9;1010,7;;23,1;20,8;23,2;23,1;20,8;20,4;87;85;87;67;9,5;4,4;
2025/01/01;0300 UTC;0;1010,6;1011;1010,6;;22,9;21,3;23,2;22,9;21,3;20,8;91;87;91;75;7,4;3,9;
2025/01/01;0400 UTC;0;1010,1;1010,6;1009,9;;22,9;21,5;22,9;22,8;21,5;21,2;92;90;92;73;6,8;3,4;
2025/01/01;0500 UTC;0;1009,6;1010,2;1009,6;;23,1;21,2;23,1;22,8;21,5;21,1;92;89;89;64;8,5;4,8;
2025/01/01;0600 UTC;0;1009,2;1009,6;1009,2;;22,9;21,4;23,1;22,9;21,5;21,2;91;89;91;62;8,2;4,3;
2025/01/01;0700 UTC;0;1009,1;1009,3;1009;;23;21,3;23;22,9;21,5;21,3;92;90;90;70;8,3;4,7;
2025/01/01;0800 UTC;0;1009,4;1009,4;1009;;23;21,5;23,1;22,9;21,5;21,3;92;90;91;40;8,3;3,4;
2025/01/01;0900 UTC;0;1009,5;1009,7;1009,4;28,2;22,9;21,5;23;22,8;21,6;21,5;93;91;92;49;5,9;3;
2025/01/01;1000 UTC;0;1010;1010;1009,5;237,2;23,5;21,8;23,5;22,9;21,8;21,5;92;90;90;56;5,6;2,6;
2025/01/01;1100 UTC;0;1010,2;1010,4;1010;553,9;24,2;21,9;24,2;23,5;22;21,6;90;86;87;69;6,3;3,9;
2025/01/01;1200 UTC;0;1009,9;1010,3;1009,8;1150,4;25,2;22,2;25,2;24,2;22,4;21,5;87;83;83;79;7,3;4,1;
2025/01/01;1300 UTC;0;1010;1010,2;1009,9;1791,3;25,8;22,1;25,9;24,9;22,6;21,9;84;80;80;79;7,8;4,6;
2025/01/01;1400 UTC;0;1009,5;1010;1009,5;3020,3;26,7;22,2;26,7;25,4;22,7;22;84;76;76;75;9,8;5,1;
2025/01/01;1500 UTC;0;1008,7;1009,5;1008,7;2786,4;27,1;22,3;27,2;26,3;23,1;22;80;74;75;80;8,8;5,3;
