REGIAO:;S
UF:;SC
ESTACAO:;NOVO HORIZONTE
CODIGO (WMO):;A816
LATITUDE:;-26,40638888
LONGITUDE:;-52,85027777
ALTITUDE:;943,57
DATA DE FUNDACAO:;20/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;905,1;905,1;904,3;;23,2;16,3;23,7;22,9;16,6;16,2;67;63;65;37;4,4;0;
2025/01/01;0100 UTC;;905,5;905,5;905,1;;21,6;17,6;23,3;21,5;17,6;16,5;78;65;78;14;,6;0;
2025/01/01;0200 UTC;;905,5;905,5;905,4;;22,7;17,5;22,8;21,1;17,9;17,3;80;72;72;28;2,5;1,1;
2025/01/01;0300 UTC;;905,3;905,7;905,3;;22,2;16,3;23,1;22;17,5;16,3;72;68;69;17;3,2;2;
2025/01/01;0400 UTC;;904,8;905,3;904,8;;22,6;16,2;22,7;21,9;16,4;16,1;70;66;67;359;4,6;2,8;
2025/01/01;0500 UTC;;904,7;904,9;904,7;;21,2;16,7;22,7;21,1;16,8;16,2;76;67;76;18;4,6;2,2;
2025/01/01;0600 UTC;;904,2;904,7;904,2;;21;15,8;21,5;20,8;16,7;15,7;76;71;72;20;5,9;2,4;
2025/01/01;0700 UTC;;904,3;904,3;904;;20;16;21;20;16;15,7;78;72;78;16;5,8;2,2;
2025/01/01;0800 UTC;;904,6;904,6;904,3;;20,1;16,3;20,3;19,7;16,3;16;80;77;79;354;6;3,8;
2025/01/01;0900 UTC;;905,3;905,3;904,6;7;19,9;16,4;20,2;19,6;16,5;16,1;81;78;81;25;5,5;2,4;
2025/01/01;1000 UTC;;905,8;905,9;905,3;383;20,9;17;20,9;19,9;17,1;16,4;81;78;78;39;6,2;1,6;
2025/01/01;1100 UTC;;906,4;906,5;905,8;1193;21,8;17,2;22;20,9;17,6;17;79;75;75;19;5,8;1,9;
2025/01/01;1200 UTC;;906,8;906,8;906,4;1832,3;23,5;18,5;23,6;21,8;18,5;17,3;76;71;74;5;5,7;2,2;
2025/01/01;1300 UTC;;907;907;906,8;2681,2;24,8;18,1;25,1;23,5;19,1;18;74;65;66;353;7,2;3,3;
2025/01/01;1400 UTC;;906,9;907,1;906,9;3186,2;25,5;18,8;25,7;24,8;19;17,6;69;63;67;343;9;4,1;
2025/01/01;1500 UTC;;906,2;906,9;906,2;3406,5;26,5;19,9;26,9;24,7;20,7;18,1;70;65;67;335;9,6;4,8;
2025/01/01;1600 UTC;;905,8;906,3;905,7;3606,4;27,1;19;27,6;25,8;20,6;18,9;69;61;61;319;9,9;4,5;
2025/01/01;1700 UTC;;904,8;905,8;904,8;3592,9;28;18,3;28,2;26,6;20,2;17,8;65;55;56;310;9,6;5;
2025/01/01;1800 UTC;;904,2;904,8;904,1;3893,7;29,9;17,2;30;27,3;20;16,8;61;46;47;277;8,4;3;
2025/01/01;1900 UTC;;903,6;904,2;903,6;2839,6;30;15,2;30;27,8;17,7;14;52;38;41;287;7,1;2,1;
2025/01/01;2000 UTC;;903,3;903,6;903,3;2068;29,1;15,2;30;28,2;16,3;14,1;46;39;43;274;6,3;2,3;
2025/01/01;2100 UTC;;902,9;903,4;902,8;1290,5;28,7;15,5;29,1;28,3;16,4;14,7;48;42;44;263;5,3;2,1;
