REGIAO:;S
UF:;SC
ESTACAO:;DIONISIO CERQUEIRA
CODIGO (WMO):;A848
LATITUDE:;-26,286562
LONGITUDE:;-53,633114
ALTITUDE:;807,54
DATA DE FUNDACAO:;31/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;919,7;919,7;919,1;;24,7;16,6;25,2;24,7;17,9;16,6;64;61;61;248;0;;
2025/01/01;0100 UTC;0;920;920;919,8;;24,5;16,8;24,7;24,4;16,8;16,4;62;61;62;228;3,3;;
2025/01/01;0200 UTC;0;920,2;920,4;919,9;;24,6;15,9;24,7;24,5;17;15,9;62;58;59;216;3,3;;
2025/01/01;0300 UTC;0;920;920,2;920;;24,1;16,4;24,7;24,1;16,4;15,9;62;58;62;238;0;;
2025/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0500 UTC;0;919,4;919,8;919,4;;23,6;17,8;23,8;23,6;17,8;16,2;70;63;70;233;4,6;;
2025/01/01;0600 UTC;0;919,1;919,4;919;;23,5;17,7;23,6;23,3;17,8;17,6;71;70;70;214;6;;
2025/01/01;0700 UTC;0;919,3;919,3;919,1;;22,6;17,4;23,5;22,6;17,7;17,4;73;70;73;233;4,7;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;0;920;920;919,6;15,1;22,1;16,5;22,1;21,9;17;16,4;73;70;70;226;6,4;;
2025/01/01;1000 UTC;0;920,6;920,6;919,9;420,4;23,2;17;23,2;22,1;17;16,4;70;68;68;217;8,1;;
2025/01/01;1100 UTC;0;921,2;921,2;920,6;1224,8;24,2;17,9;24,3;23,2;17,9;17;69;67;68;214;9,3;;
2025/01/01;1200 UTC;0;921,6;921,6;921,2;2059,6;25,1;18,1;25,3;24,2;18,6;17,9;68;64;65;208;9,8;;
2025/01/01;1300 UTC;0;921,9;922;921,6;2831,6;25,9;18,5;26,3;25,1;18,7;18;66;61;63;201;10,2;;
2025/01/01;1400 UTC;0;921,8;921,9;921,8;3456,6;26,9;19,2;27,2;25,9;19,3;18,3;64;60;63;203;10,7;;
2025/01/01;1500 UTC;0;921,4;921,8;921,4;3772,6;28,2;19,4;28,6;26,9;20;19;63;58;59;201;9,3;;
2025/01/01;1600 UTC;0;920,9;921,4;920,9;2923,3;29;17,9;29,5;27,7;19,8;16,6;60;50;51;204;7,8;;
2025/01/01;1700 UTC;0;919,8;920,9;919,8;3659,6;30;17,5;30,2;28,6;19,1;15,9;56;43;47;218;8,3;;
2025/01/01;1800 UTC;0;919,1;919,8;919,1;3269,5;30,6;16,1;30,6;29,4;18,4;15,3;52;40;42;226;8,3;;
2025/01/01;1900 UTC;0;918,7;919,2;918,7;2356;30;17,6;31,4;29,7;17,7;15,6;49;40;47;219;7,9;;
2025/01/01;2000 UTC;0;918,2;918,7;918,1;1828,3;30,7;16;31;29,3;17,6;16;49;40;41;218;6,5;;
2025/01/01;2100 UTC;0;917,7;918,2;917,7;1126,4;30,1;15;30,8;29,5;16;14,1;43;38;40;244;5,4;;
2025/01/01;2200 UTC;0;918,3;918,4;917,7;493,6;28,4;15,9;30,4;28,4;16,4;15,1;47;40;47;232;3;;
2025/01/01;2300 UTC;0;918,8;918,8;918,3;13,4;27,2;16,5;28,4;27,1;16,8;15,7;53;46;52;220;2;;
2025/01/02;0000 UTC;0;919,2;919,2;918,7;;26,5;19,2;27,2;26,5;19,2;16,3;64;52;64;209;,4;;
2025/01/02;0100 UTC;0;920;920;919;;26,2;18,7;26,5;26,2;19,2;18,6;65;62;63;209;0;;
2025/01/02;0200 UTC;0;920,1;920,2;919,8;;25,3;18,5;26,2;25,2;18,8;18,5;67;63;66;207;5,7;;
2025/01/02;0300 UTC;0;919,6;920,2;919,6;;25,1;17,9;25,3;25;18,5;17,9;67;64;64;208;5,9;;
2025/01/02;0400 UTC;0;920;920,2;919,6;;22,5;20,3;25,1;22,5;20,4;17,9;87;64;87;214;6,4;;
2025/01/02;0500 UTC;,8;918,8;920,5;918,8;,2;20,4;18,5;22,5;20,1;20,3;18,5;92;87;89;199;13,8;;
2025/01/02;0600 UTC;0;919,5;919,7;918,8;1;19,7;16,8;20,5;19,7;18,5;16,8;89;84;84;196;7,4;;
2025/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0900 UTC;0;919,4;919,5;919,2;11,1;20,9;17;20,9;20;17,3;16,6;84;77;79;196;6,7;;
2025/01/02;1000 UTC;0;920,2;920,2;919,3;180,3;21,2;17,7;21,4;20,9;17,8;16,7;81;76;81;198;7,2;;
2025/01/02;1100 UTC;0;920,7;920,7;920,2;866,8;22,4;18,9;22,4;21,2;18,9;17,8;83;79;81;196;9,7;;
2025/01/02;1200 UTC;0;920,8;921,1;920,7;867,1;22,5;18,9;22,5;22,2;19;18,7;82;79;81;200;7,9;;
2025/01/02;1300 UTC;0;920,6;921;920,6;738;21,9;18,7;22,6;21,9;19,3;18,6;82;80;82;202;7,4;;
2025/01/02;1400 UTC;0;920,5;920,6;920,4;1824,1;24,4;18,4;24,5;21,9;19,4;18,1;83;68;69;226;5,8;;
2025/01/02;1500 UTC;0;920,4;920,6;920,3;2359,1;25,6;18,7;25,8;24,4;19,2;17,9;70;62;66;216;6,1;;
2025/01/02;1600 UTC;0;920;920,4;920;2579,1;26,4;18,4;27;25,6;19,2;18;67;58;61;215;8,1;;
2025/01/02;1700 UTC;0;919,3;920;919,2;3153,5;28,2;18,9;28,2;26,4;19,4;18;63;56;57;219;9,1;;
2025/01/02;1800 UTC;0;918,3;919,3;918,3;3261,1;28,4;19,2;28,9;28,1;19,5;18;59;53;57;211;9,8;;
2025/01/02;1900 UTC;0;918,1;918,4;918,1;1399,3;27,7;19,1;28,7;27,5;20,4;18,8;63;56;60;227;8,4;;
2025/01/02;2000 UTC;5;918;918,4;917,9;679,2;25,4;22,6;27,7;22,4;22,6;19,2;85;60;84;204;14,1;;
2025/01/02;2100 UTC;0;918;918;917,7;1449,9;26;21;26,3;25,4;22,9;20,7;85;72;74;215;7,8;;
2025/01/02;2200 UTC;0;918,8;918,8;917,9;638,1;23,5;20,3;26;23,5;21,6;20,3;83;74;82;248;7,5;;
