REGIAO:;S
UF:;SC
ESTACAO:;RIO DO CAMPO
CODIGO (WMO):;A861
LATITUDE:;-26,93749999
LONGITUDE:;-50,14555555
ALTITUDE:;591,67
DATA DE FUNDACAO:;10/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;945,3;945,3;944,6;;19,8;18,8;19,8;19,3;18,8;18,2;94;92;94;256;3,8;1,9;
2025/01/01;0100 UTC;0;945,9;945,9;945,3;;19,2;18,2;19,8;19,1;18,8;18,1;94;94;94;231;4;1,1;
2025/01/01;0200 UTC;0;946;946,1;945,9;;19,2;18,2;19,5;18,9;18,6;17,9;95;93;94;272;3,1;1,4;
2025/01/01;0300 UTC;0;945,5;946;945,5;;19,2;18,3;19,2;18,9;18,3;17,7;94;93;94;244;3,4;1;
2025/01/01;0400 UTC;0;945,6;945,7;945,5;;19;17,9;19,2;18,7;18,1;17,4;94;92;94;271;3;0;
2025/01/01;0500 UTC;0;944,8;945,6;944,8;0;19,1;18,2;19,4;19;18,4;18;94;94;94;293;1,9;,2;
2025/01/01;0600 UTC;0;944,5;945;944,5;;19,1;18,1;19,3;19,1;18,3;18,1;95;94;94;275;2;,3;
2025/01/01;0700 UTC;0;944,7;944,7;944,3;;19,3;18,2;19,3;19,1;18,3;18,1;94;93;93;334;1,6;0;
2025/01/01;0800 UTC;0;944,9;944,9;944,6;,2;19,3;18,3;19,5;19,3;18,5;18,2;94;93;94;198;1,2;0;
2025/01/01;0900 UTC;0;945,5;945,5;944,9;8,7;19,4;18,6;19,4;19;18,6;18,1;95;94;95;170;1,3;0;
2025/01/01;1000 UTC;0;946,1;946,1;945,5;118,7;20,1;19,1;20,1;19,4;19,1;18,6;95;94;94;200;0;0;
2025/01/01;1100 UTC;0;946,3;946,3;946,1;786,2;22,2;19,1;22,5;20,1;20,1;19,1;94;83;83;212;1,5;,2;
2025/01/01;1200 UTC;0;946,6;946,6;946,3;1152,3;23,1;19,2;23,1;22,1;19,7;18,7;85;78;79;33;2,9;1,7;
2025/01/01;1300 UTC;0;946,4;946,6;946,4;1487,9;24;19,7;24;23,1;19,7;18,7;79;74;77;349;3,1;1,2;
2025/01/01;1400 UTC;0;946,2;946,5;946,1;2538,3;25,9;19,3;26,1;24;20,3;18,9;76;66;67;347;4,6;1,8;
2025/01/01;1500 UTC;0;945,3;946,2;945,3;3700,5;27,4;19,6;27,7;25,9;20,7;18,5;69;61;62;23;5,1;2,6;
2025/01/01;1600 UTC;0;944,2;945,3;944,2;3075,3;28,4;20;28,4;26,9;20,5;18,7;67;59;61;80;6,1;1,8;
2025/01/01;1700 UTC;0;943,1;944,2;943,1;3925,1;29,7;19,3;29,9;28;21,1;18,5;64;52;54;334;5,2;2;
2025/01/01;1800 UTC;0;942,3;943,1;942,3;3231,5;30;17,9;30,2;29;20;17,8;56;48;48;355;5;2,3;
2025/01/01;1900 UTC;0;941,5;942,3;941,1;1617,1;27,2;19,6;30,7;27,2;19,7;17;63;46;63;283;5,4;2,3;
2025/01/01;2000 UTC;0;943;943;941,5;121,3;19,6;16,1;27,2;19,6;19,5;13,1;80;52;80;152;13,1;2,7;
2025/01/01;2100 UTC;,2;942,1;943,1;941,8;231,4;20,2;17,5;20,2;19,2;17,5;15,8;85;77;84;192;7,2;1;
2025/01/01;2200 UTC;0;943,3;943,3;942,1;300,5;20,6;17,8;21,1;20,1;17,9;17;85;79;84;336;3;2,2;
2025/01/01;2300 UTC;0;944;944,3;943,2;10,4;20,6;17,7;20,7;20,1;17,8;17,3;86;82;83;43;6,8;1,1;
2025/01/02;0000 UTC;0;944,4;944,6;943,9;;19,6;18;20,6;19,3;18,1;17,4;91;83;91;360;3,2;,2;
2025/01/02;0100 UTC;0;945,1;945,3;944,4;;19,5;18;19,6;19,1;18,1;17,8;92;91;91;22;3,3;,6;
2025/01/02;0200 UTC;0;945,4;945,7;945,1;;18,9;17,9;19,6;18,9;18,1;17,6;94;91;94;164;2,5;,9;
2025/01/02;0300 UTC;0;945,4;945,5;945,1;;18,8;17,9;18,9;18,4;17,9;17,5;95;94;95;234;3,2;1,7;
2025/01/02;0400 UTC;0;945,2;945,4;945,2;;18,9;17,7;18,9;18,7;17,9;17,6;95;93;93;86;3,2;,4;
2025/01/02;0500 UTC;0;944,1;945,2;944,1;;18;17,2;18,9;18;17,6;17,2;95;92;95;308;2,8;,9;
2025/01/02;0600 UTC;0;943,3;944,1;943,3;;18,1;17,5;18,1;17,9;17,5;17,2;96;95;96;215;2,8;,2;
2025/01/02;0700 UTC;0;942,8;943,3;942,7;;18,4;17,4;18,4;18,1;17,7;17,3;96;94;94;234;1,7;1;
2025/01/02;0800 UTC;0;943,1;943,1;942,8;;17,9;17,1;18,4;17,9;17,4;17;95;94;95;303;2;,7;
2025/01/02;0900 UTC;0;943,1;943,2;942,8;13,6;18;17,1;18,1;17,8;17,4;17;96;95;95;6;3;1,1;
2025/01/02;1000 UTC;0;943,3;943,4;943,1;435,2;19,8;17,4;19,8;18;17,9;17;95;86;86;175;2,5;,9;
2025/01/02;1100 UTC;0;943,9;943,9;943,2;1007,8;20,7;17,7;20,8;19,6;18,1;17;87;82;83;169;2,1;1,2;
2025/01/02;1200 UTC;0;943,7;943,9;943,3;611,3;21;18,3;21;20,2;18,4;17,4;87;83;85;27;2,8;1,3;
2025/01/02;1300 UTC;0;943,8;944;943,7;1543,4;23;18,7;23,5;20,9;19,6;18,2;86;75;76;127;3,6;1;
2025/01/02;1400 UTC;0;943,1;943,8;943,1;2305,4;24,6;19,3;25;22,5;19,8;18,2;80;70;72;200;2,9;1,1;
2025/01/02;1500 UTC;0;942,9;943,2;942,8;1592,9;21,9;19;25,9;21,9;20,7;18,7;83;70;83;123;8,2;5,3;
2025/01/02;1600 UTC;1,2;942,9;943,6;942,9;667,5;22,1;20,1;22,1;19,8;20,1;17,8;92;83;89;316;8,2;1,6;
2025/01/02;1700 UTC;0;941,8;942,9;941,7;2240,9;23,8;20,1;24,4;22,1;21,3;18,9;89;76;80;285;4;1,6;
2025/01/02;1800 UTC;0;941,1;941,9;941,1;2180;24,8;20,2;25,2;23,6;20,7;19,5;80;74;76;11;7,4;4,7;
2025/01/02;1900 UTC;0;940,4;941,1;940,4;2793,1;26;19,6;26,1;24,4;20,4;18,9;77;66;68;2;7,4;3,5;
2025/01/02;2000 UTC;0;940,1;940,5;940;2196,7;25,8;20,2;26,2;25,5;20,3;18,8;72;65;71;9;7,9;5;
2025/01/02;2100 UTC;2,8;940,9;940,9;939,8;376,8;21,6;18,5;26,1;21,6;20,3;18,2;82;69;82;308;7,6;3;
2025/01/02;2200 UTC;5,6;940,8;941,2;940,6;142,9;20,7;19,2;21,6;19,9;19,5;18,1;92;83;91;282;7,2;,6;
2025/01/02;2300 UTC;0;940,7;940,9;940,6;14,8;20,3;19,2;20,7;20,1;19,4;19;94;91;94;343;2,6;1,1;
2025/01/03;0000 UTC;0;941,6;941,7;940,7;;19,7;18,7;20,3;19,7;19,1;18,7;94;93;94;359;3,9;1,8;
2025/01/03;0100 UTC;,2;942,4;942,4;941,5;;18,9;18,1;19,7;18,9;18,7;18,1;95;93;95;171;3,3;,1;
2025/01/03;0200 UTC;0;942,6;942,8;942,3;;19;18,2;19,3;18,9;18,5;18,2;95;95;95;293;1,5;,2;
2025/01/03;0300 UTC;0;941,5;942,7;941,5;;18,7;18;19;18,6;18,2;17,9;96;95;96;346;2;0;
2025/01/03;0400 UTC;0;940,9;941,5;940,9;;18,3;17,6;18,7;18,3;18,1;17,6;96;96;96;262;1,5;0;
2025/01/03;0500 UTC;0;940,1;940,9;940,1;;18,2;17,6;18,5;18,2;17,9;17,6;96;96;96;313;1,6;,4;
2025/01/03;0600 UTC;0;939,8;940,1;939,6;;18,2;17,6;18,4;18,2;17,8;17,6;97;96;97;338;2,1;,2;
2025/01/03;0700 UTC;0;940,1;940,1;939,8;;18;17,4;18,3;17,9;17,7;17,4;97;97;97;306;2,5;,1;
2025/01/03;0800 UTC;0;940,5;940,5;940;;17,7;17,2;18;17,6;17,5;17;97;97;97;352;2,4;,1;
2025/01/03;0900 UTC;0;940,9;940,9;940,5;10,4;18,1;17,6;18,2;17,7;17,7;17,2;97;97;97;206;1,3;0;
2025/01/03;1000 UTC;0;941;941;940,9;245,6;18,4;17,9;18,5;18;18;17,5;97;97;97;57;1,2;0;
2025/01/03;1100 UTC;0;941,4;941,4;941;743;19,1;18,6;19,5;18,4;18,9;17,9;97;97;97;11;2,3;1,2;
2025/01/03;1200 UTC;0;941,3;941,4;941,3;2086,6;23,3;20,2;23,3;19,1;21,6;18,7;97;82;83;22;3,8;2,7;
2025/01/03;1300 UTC;0;941,2;941,4;941,2;2875,5;27,3;19,1;27,4;23,3;20,7;18,9;83;61;61;63;3,6;1,2;
2025/01/03;1400 UTC;,2;941,2;941,2;941,1;3226,3;29,2;17,6;29,4;27,3;21;17,1;64;48;50;215;7,3;3,4;
2025/01/03;1500 UTC;0;940,5;941,2;940,5;3721,9;30,1;15,6;30,6;29,1;18,4;15,3;52;41;41;200;9,4;3,5;
2025/01/03;1600 UTC;0;940,3;940,5;940,2;4159,2;30,7;14,7;30,9;29,8;17,7;13;47;34;38;223;11,3;5,2;
2025/01/03;1700 UTC;0;939,8;940,3;939,8;3559,5;31,4;13,3;31,7;30,2;15,2;12,2;39;31;33;229;11,2;4,6;
2025/01/03;1800 UTC;0;939,2;939,8;939,2;3317,3;31,1;13,1;31,9;30,4;15,6;12,3;39;32;33;198;11,2;3,6;
2025/01/03;1900 UTC;0;938,7;939,2;938,7;3031,4;31,6;11,4;31,8;31;13,4;9,7;34;26;29;215;10,7;4,2;
2025/01/03;2000 UTC;0;938,1;938,7;938,1;1883,9;31;10,5;31,6;30,9;11,4;8,9;30;25;28;194;9,2;2,9;
2025/01/03;2100 UTC;0;938,2;938,3;938;1338;30,3;12;31,2;30,3;12,3;9,7;33;26;33;182;7,8;3,3;
2025/01/03;2200 UTC;0;938,2;938,3;938,1;523;28,3;14,1;30,3;28,3;14,7;11,6;43;32;42;200;7,5;1,2;
2025/01/03;2300 UTC;0;938,8;938,8;938,2;22,2;24;17,4;28,3;24;17,4;14,2;67;42;66;104;3,3;0;
2025/01/04;0000 UTC;0;939,7;939,7;938,8;;22,1;17,3;24;22,1;17,7;16,8;74;66;74;330;2,2;,6;
2025/01/04;0100 UTC;0;940,7;940,7;939,7;;21;17,6;22,3;21;17,7;17;81;72;81;332;2,9;0;
2025/01/04;0200 UTC;0;941,1;941,2;940,7;;20,1;17,7;21;20;17,8;17,4;87;81;86;258;1,1;0;
2025/01/04;0300 UTC;0;941,1;941,4;941,1;;19,5;17,7;20,6;19,5;17,8;17,6;90;83;90;241;1,5;0;
2025/01/04;0400 UTC;0;940,6;941,1;940,6;;18,7;17,3;19,5;18,7;17,8;17,2;92;88;92;203;1;0;
2025/01/04;0500 UTC;0;940,3;940,6;940,2;;18,4;17,2;19;18,4;17,7;17,2;93;92;93;208;,9;0;
2025/01/04;0600 UTC;0;940,4;940,5;940,2;;17,5;16,6;18,4;17,5;17,2;16,6;95;93;95;109;,6;0;
2025/01/04;0700 UTC;0;940,6;940,7;940,3;;17,1;16,4;17,6;17,1;16,8;16,4;96;95;96;135;1,1;,1;
