REGIAO:;S
UF:;SC
ESTACAO:;LAGES
CODIGO (WMO):;A865
LATITUDE:;-27,80222222
LONGITUDE:;-50,33555555
ALTITUDE:;952,7
DATA DE FUNDACAO:;06/11/14
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;14,4;907,3;907,3;906,5;,4;16,3;;17,3;16;;;;;;116;12,1;2,9;
2025/01/01;0100 UTC;0;907,1;907,6;907,1;0;16,6;;16,9;16,3;;;;;;80;6;1,4;
2025/01/01;0200 UTC;0;906,7;907,1;906,7;0;16,4;;16,6;16,1;;;;;;1;3,4;1,1;
2025/01/01;0300 UTC;0;906,8;906,9;906,7;0;16,5;;16,5;15,9;;;;;;82;3,3;2;
2025/01/01;0400 UTC;0;906,6;906,8;906,4;,3;17,2;;17,3;16,2;;;;;;67;6,5;3,3;
2025/01/01;0500 UTC;0;905,9;906,6;905,9;,3;17,7;;17,7;17,1;;;;;;84;5,6;3,1;
2025/01/01;0600 UTC;0;905,7;905,9;905,7;1,4;18;;18;17,7;;;;;;35;5,8;3,2;
2025/01/01;0700 UTC;0;905,8;905,8;905,7;,1;17,8;;18;17,8;;;;;;50;5,1;2,9;
2025/01/01;0800 UTC;0;906,2;906,2;905,8;0;17,9;;18;17,8;;;;;;61;6,1;3;
2025/01/01;0900 UTC;0;906,8;906,8;906,2;10,1;18;;18;17,8;;;;;;54;6,2;3;
