REGIAO:;S
UF:;SC
ESTACAO:;CHAPECO
CODIGO (WMO):;A895
LATITUDE:;-27,0853111
LONGITUDE:;-52,6357111
ALTITUDE:;679
DATA DE FUNDACAO:;19/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;933,4;933,4;932,6;;25,2;;26;25,2;;;;;;108;5,3;3,1;
2025/01/01;0100 UTC;0;933,8;933,8;933,5;;25,2;;25,5;24,9;;;;;;96;5,3;3,6;
2025/01/01;0200 UTC;0;933,9;933,9;933,7;;24,4;;25,2;24,4;;;;;;80;6;2,3;
2025/01/01;0300 UTC;0;933,8;934;933,8;;23,8;;24,5;23,8;;;;;;100;4,8;3,2;
2025/01/01;0400 UTC;0;933,3;933,8;933,3;;23;;23,8;22,9;;;;;;102;5,5;3,4;
2025/01/01;0500 UTC;0;933;933,3;933;;22,3;;23;22,3;;;;;;90;4,8;2,9;
2025/01/01;0600 UTC;0;932,6;933,1;932,6;;22;;22,3;21,7;;;;;;66;5,5;2,8;
2025/01/01;0700 UTC;0;932,9;932,9;932,5;;21,8;;22,2;21,6;;;;;;48;5,1;2,1;
2025/01/01;0800 UTC;0;933,5;933,5;932,9;;21,5;;21,9;21,5;;;;;;77;4,4;1,4;
2025/01/01;0900 UTC;0;934;934,1;933,5;15,7;21,8;;21,9;21,4;;;;;;56;5,3;3,3;
2025/01/01;1000 UTC;0;934,3;934,3;934;456,6;23;;23;21,8;;;;;;56;7,2;3,6;
2025/01/01;1100 UTC;0;935;935;934,3;1235,1;25,2;;25,2;23;;;;;;34;6,4;3,8;
2025/01/01;1200 UTC;0;935,3;935,3;934,9;2124,8;26,2;;26,5;25,2;;;;;;26;9,8;5,2;
2025/01/01;1300 UTC;0;935,5;935,6;935,3;2333,1;27;;27,9;26;;;;;;7;9,8;3,9;
2025/01/01;1400 UTC;0;934,9;935,5;934,9;2425,5;28,7;;28,8;26,9;;;;;;355;8,9;5,1;
2025/01/01;1500 UTC;0;934,3;934,9;934,3;3908,4;29,3;;30,2;28,6;;;;;;359;9,9;5,2;
2025/01/01;1600 UTC;0;933,5;934,3;933,5;3647,6;29,6;;31,3;29,4;;;;;;335;10,5;4,8;
2025/01/01;1700 UTC;0;933;933,5;932,6;2496,3;28,1;;31,4;27,7;;;;;;337;16,2;9,1;
2025/01/01;1800 UTC;0;932,4;933;932,2;3079,6;29,7;;31,5;28,2;;;;;;338;16,2;3,5;
2025/01/01;1900 UTC;0;931,6;932,5;931,6;1985,2;30,6;;31,3;29,5;;;;;;279;7,3;3,5;
2025/01/01;2000 UTC;0;931,3;931,8;931,3;1197,5;29,2;;31,7;29,2;;;;;;185;8,5;2,3;
2025/01/01;2100 UTC;0;931,2;931,4;931;325,5;27,1;;29,3;27,1;;;;;;138;6,8;4,8;
2025/01/01;2200 UTC;0;931,4;931,4;931;527,4;27;;28,1;27;;;;;;91;6,6;4;
2025/01/01;2300 UTC;0;931,6;931,7;931,4;43;25,4;;27;25,4;;;;;;89;6,6;3,8;
2025/01/02;0000 UTC;0;932,6;932,6;931,6;;24,6;;25,4;24,6;;;;;;57;5,5;2,6;
2025/01/02;0100 UTC;0;933,2;933,2;932,6;;24,8;;25;24,5;;;;;;59;4,8;3,1;
2025/01/02;0200 UTC;0;933,9;934;933,1;;23,5;;25;23,5;;;;;;221;5,8;2,3;
2025/01/02;0300 UTC;0;934,2;934,3;933,5;;23,4;;24,1;23,3;;;;;;327;5,8;2,6;
2025/01/02;0400 UTC;0;932,7;934,2;932,7;;21,9;;23,4;21,8;;;;;;20;7,1;3,8;
2025/01/02;0500 UTC;0;932,7;932,7;932,2;;21,6;;21,9;21,5;;;;;;23;7,1;4,1;
2025/01/02;0600 UTC;0;932,1;932,7;931,8;;21,4;;21,9;21,4;;;;;;23;7,1;2,2;
2025/01/02;0700 UTC;5,4;932,4;933,1;932;;20;;21,8;19,9;;;;;;1;12,5;4,7;
2025/01/02;0800 UTC;0;932,7;932,7;932,2;1,2;19,8;;20;19,6;;;;;;28;10;4,2;
2025/01/02;0900 UTC;0;932,2;932,7;932;17,4;21;;21,2;19,7;;;;;;44;7,4;3,7;
2025/01/02;1000 UTC;0;933,1;933,1;932,2;382;22,1;;22,1;19,9;;;;;;2;7;3;
2025/01/02;1100 UTC;0;934,4;934,4;933,1;261,3;21,9;;22,1;21,7;;;;;;250;7,4;1,2;
2025/01/02;1200 UTC;6,8;934,4;934,8;934,2;576,6;22,1;;22,2;20,4;;;;;;19;5,2;2,7;
2025/01/02;1300 UTC;0;934,4;934,5;934,2;1155,7;23,9;;23,9;22;;;;;;351;4,7;2,5;
2025/01/02;1400 UTC;0;934;934,4;934;2372,7;25,3;;25,3;23,9;;;;;;356;7;3,3;
2025/01/02;1500 UTC;0;933,6;934;933,6;3357;26,3;;26,8;24,7;;;;;;309;7,8;4,4;
2025/01/02;1600 UTC;0;933;933,6;933;3717,7;27,9;;27,9;26;;;;;;309;8,2;3,2;
2025/01/02;1700 UTC;0;931,9;933;931,9;3505,5;28,4;;28,8;27,5;;;;;;286;9;4,7;
2025/01/02;1800 UTC;0;930,9;931,9;930,9;3353,4;28,4;;30,1;28,4;;;;;;278;10,7;4,7;
2025/01/02;1900 UTC;0;930,7;930,9;930,5;2369,6;29,8;;30,2;28,3;;;;;;299;8,3;5;
2025/01/02;2000 UTC;0;930,5;930,8;930,5;1686,9;28,9;;30,3;28,8;;;;;;269;8,2;3,2;
2025/01/02;2100 UTC;0;930,2;930,6;930,1;919,4;28,7;;30,2;28,1;;;;;;275;6,1;2;
2025/01/02;2200 UTC;0;931;931;930,2;237;25,8;;28,7;25,8;;;;;;335;5,4;2,9;
2025/01/02;2300 UTC;0;931,6;931,8;931;40,6;23,6;;25,8;23,3;;;;;;42;7,7;4;
2025/01/03;0000 UTC;0;931,8;931,8;931,5;;23,3;;24,1;23,3;;;;;;8;6,7;3,6;
2025/01/03;0100 UTC;0;932,4;932,4;931,8;;22,5;;23,3;21,4;;;;;;5;7,4;4,2;
2025/01/03;0200 UTC;0;932,7;932,7;932,4;;22,1;;22,5;21,7;;;;;;43;7,2;1,3;
2025/01/03;0300 UTC;0;932,7;932,8;932,5;;21,3;;22,3;21,3;;;;;;97;7,4;4,8;
2025/01/03;0400 UTC;0;932,8;932,9;932,7;;20,6;;21,3;20,6;;;;;;78;7,4;3,9;
2025/01/03;0500 UTC;0;932,2;932,8;932,2;;20,1;;20,8;19,9;;;;;;13;5,4;1,6;
2025/01/03;0600 UTC;0;931,6;932,2;931,6;;20,2;;20,3;19,8;;;;;;1;3,6;2;
2025/01/03;0700 UTC;0;931,6;931,6;931,5;;19,9;;20,2;19,8;;;;;;1;4,1;2,6;
2025/01/03;0800 UTC;0;932;932;931,6;;19,5;;20;19,5;;;;;;354;5,3;3,1;
2025/01/03;0900 UTC;0;932,4;932,4;932;12;19,9;;19,9;19,3;;;;;;2;4,7;2,6;
2025/01/03;1000 UTC;0;932,7;932,8;932,4;417,8;21,7;;21,7;19,9;;;;;;360;4,2;2,1;
2025/01/03;1100 UTC;0;933,2;933,2;932,7;1237,5;23,5;;23,5;21,7;;;;;;285;6,3;3,3;
2025/01/03;1200 UTC;0;933,3;933,4;933,1;2112,3;24,7;;24,7;23,2;;;;;;298;6,3;3,3;
2025/01/03;1300 UTC;0;933,6;933,6;933,3;2800,2;26,5;;26,7;24,7;;;;;;283;7,6;4,1;
2025/01/03;1400 UTC;0;933,3;933,6;933,2;3220,3;27,6;;27,7;26,1;;;;;;286;9,5;5,6;
2025/01/03;1500 UTC;0;932,9;933,3;932,9;3672,8;28,1;;28,9;27,2;;;;;;302;10,5;5;
2025/01/03;1600 UTC;0;932,6;933,1;932,5;3699;29,3;;29,6;27,7;;;;;;294;12;6,6;
2025/01/03;1700 UTC;0;932,3;932,7;932,3;2717,1;29,4;;29,9;28,2;;;;;;266;12,6;7,3;
2025/01/03;1800 UTC;0;931,6;932,3;931,6;3094,4;30,4;;30,5;28,8;;;;;;255;12,6;6,1;
2025/01/03;1900 UTC;0;930,8;931,6;930,8;3088,4;30,5;;30,7;29,9;;;;;;281;11,8;7,2;
2025/01/03;2000 UTC;0;930,2;930,8;930,2;2104,5;30,4;;30,6;29,2;;;;;;267;11,6;4,9;
2025/01/03;2100 UTC;0;929,8;930,2;929,8;1187,7;29,8;;30,8;29;;;;;;273;10,3;5,7;
2025/01/03;2200 UTC;0;929,8;930;929,7;546,6;28,3;;29,8;28,2;;;;;;275;9,2;4,2;
2025/01/03;2300 UTC;0;930,4;930,4;929,8;41,3;26,3;;28,5;26;;;;;;285;6,8;2,9;
2025/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;0;932,8;932,8;932,1;;23,1;;24,8;23,1;;;;;;233;5,4;3,4;
2025/01/04;0300 UTC;0;932,9;933,1;932,8;;22,2;;23,4;22,2;;;;;;215;7,1;3,3;
2025/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
